entity_type,entity_code,decision,reviewed_by,reviewed_at,review_notes,evidence_summary,source_references
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-7D48A604|desirable,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-09B61CE4|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-AFC6ADF5|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-114ACB44|desirable,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-3F2E058C|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-CDF01952|desirable,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-352E7A5E|desirable,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-8C73E38B|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-87CE8557|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-056270FE|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-6FF47E3E|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-F2885F17|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-F85A3FDE|desirable,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-FF41219D|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-DA0A87CC|essential,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-183D026F|desirable,deferred,,,,,
occupation_skill,CPX-OCC-CBE-001|CPX-SKL-AUTO-65B537DC|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-E13154B7|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-F7DA1A32|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-63D33878|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-0279C024|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-3A91AE7D|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-A176B1E7|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-BC270433|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-1D4E2E34|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-6F647F1B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-1A411F9F|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-7D48A604|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-B7A8AF32|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-0FBF48C0|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-47B76213|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-E470E871|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-BAE16BC2|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-AD5134A1|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-AA73F5E5|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-FB03F0F4|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-40628FD9|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-22EDA541|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-546EEF69|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-FDD48A42|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-AC35A950|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-1E0AAC08|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-79886E47|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-F6FC5E79|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-3E5ACE59|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-247ADC43|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-D5CBD41C|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-9751A58B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-FC24CEEA|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-052B962E|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-7E23F03D|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-68F157A3|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-8C767E60|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-AEBD6FC6|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-253B51AB|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-0E1D5981|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-D82A5A70|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENE-002|CPX-SKL-AUTO-9A57A331|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-004|CPX-SKL-AUTO-8D0D91A2|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-004|CPX-SKL-AUTO-9E5100F6|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-004|CPX-SKL-AUTO-AF950849|desirable,deferred,,,,,
occupation_skill,CPX-OCC-PPM-004|CPX-SKL-AUTO-E66D8FAF|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-004|CPX-SKL-AUTO-65B537DC|essential,deferred,,,,,
occupation_skill,CPX-OCC-PPM-004|CPX-SKL-AUTO-94114C07|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-8A8352EA|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-95187A22|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-4F463D91|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-30BB5DE6|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-0279C024|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-3A91AE7D|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-129F0440|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-085F11EF|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-C74C4BF1|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-3303E435|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-6F647F1B|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-7FEEC36F|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-35D32999|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-B7A8AF32|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-0FBF48C0|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-E470E871|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-FE58BCFF|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-FAA6CE4C|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-40628FD9|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-F0F40460|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-CD2BF6FC|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-4E97DFD7|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-352E7A5E|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-FDD48A42|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-13E424E6|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-DA579DE3|essential,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-DC815371|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-526A2907|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-052B962E|desirable,deferred,,,,,
occupation_skill,CPX-OCC-ENG-004|CPX-SKL-AUTO-2A9D11E5|essential,deferred,,,,,
