entity_type,entity_code,decision,reviewed_by,reviewed_at,review_notes,evidence_summary,source_references
occupation_alias,CPX-OCC-ENG-018:346b1cda,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-018:a6f50acd,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENE-007:25db6674,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENE-007:16e5b8a7,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-011:bfdbf560,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-011:8e88913d,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-001:9c6fc100,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-017:8405c17a,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-009:5651f899,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-009:ac92aa2b,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-014:8c89b757,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-012:27392132,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENE-007:bfa1f483,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-008:87adb5bd,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-PPM-003:b00c3283,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-001:f3703616,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-012:d7418c70,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-004:b3935689,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-007:6e418373,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-ENG-014:ad8a909e,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-001:7a198c9c,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-007:69577c3d,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-007:89063810,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-007:e31d1562,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-007:47c0b475,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-CBE-007:47c0b475,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-CBE-002:1fcb89d1,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-004:7247516c,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-002:d72b5631,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-BOP-002:d72b5631,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-CBE-011:aa1c27fe,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-002:d8b8bef9,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-016:507013f8,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-016:cdbc51ad,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-002:88795957,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-BOP-003:ab6b2627,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-014:4cd80146,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-014:8baa2e3c,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-014:46110197,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-014:72a0312a,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-014:d8bc89ec,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-014:51ffff82,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-014:c5b5c479,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-002:4528d6ab,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-BOP-002:836b2311,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-002:40b56506,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-002:40b56506,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-002:72666cb8,needs_human_review,,,,,
occupation_alias,CPX-OCC-DDA-016:58b48509,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-003:55fc961c,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-002:e1d315f3,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-002:140707bc,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-010:969790d4,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-001:907c7892,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-016:294e2bb4,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-016:294e2bb4,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-016:294e2bb4,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-012:b75c6dae,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-011:d0efffdf,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-004:07046fe2,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-011:496a3fcd,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-003:8c3f0998,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-018:dc1ef3b6,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-014:b25e14d0,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-ENE-007:7388b6db,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-011:c842c82e,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-012:72d7d857,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-018:8508adc7,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-018:8508adc7,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-018:8508adc7,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-018:8508adc7,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-018:8508adc7,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-013:70ce1966,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENE-013:b6ca3507,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENE-007:61820ad2,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENE-010:bd297f98,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-001:3b469f14,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-001:3b469f14,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-001:a0f97f95,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-001:d55f3ad4,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-001:35728bcc,needs_human_review,,,,,
occupation_alias,CPX-OCC-ENG-001:e7e83303,excluded_from_exact_matching,,,,,
occupation_alias,CPX-OCC-CBE-014:1d11ab0b,needs_human_review,,,,,
occupation_alias,CPX-OCC-CBE-014:0c62bd55,needs_human_review,,,,,
occupation_alias,CPX-OCC-PPM-015:6fbf7295,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-010:ed673c88,needs_human_review,,,,,
occupation_alias,CPX-OCC-BOP-010:ed673c88,needs_human_review,,,,,
