entity_type,entity_code,source_id,source_record_id,source_type,source_name,source_version,licence_name,licence_url,retrieved_at,source_checksum
career_transition,,onet,11-3021.00:15-1242.00,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-1243.00,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-1244.00,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-1251.00,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-1252.00,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-1299.05,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-1299.08,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-1299.09,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-2051.00,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3021.00:15-2051.01,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3051.00:11-1021.00,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3051.00:11-3051.01,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3051.00:11-3051.02,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3051.00:11-3051.03,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
career_transition,,onet,11-3051.00:11-3051.06,onet,O*NET database,O*NET 30.3 Database,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,2026-07-24T00:00:00.000Z,c5ee2603dc52f5c7c070858ea65070a2c972ea74ad3b70ba929f5d0513078b4e
