skill_code,alias,normalised_alias,language_code,country_code,industry_context,source_id,source_record_id,source_name,confidence,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-SKL-AUTO-7219AF63,Acarda CallAssist,acarda callassist,en,US,tool,onet,onet/skills.csv:239,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-668C6195,Acarda ForbiddenCalls,acarda forbiddencalls,en,US,tool,onet,onet/skills.csv:286,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-3572B55A,AcaStat Software,acastat software,en,US,tool,onet,onet/skills.csv:373,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-86BF8A47,ACCA Manual J,acca manual j,en,US,tool,onet,onet/skills.csv:337,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-B71E6F0D,Accela KIVA DMS,accela kiva dms,en,US,tool,onet,onet/skills.csv:278,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-253D1188,Accela PERMITS Plus,accela permits plus,en,US,tool,onet,onet/skills.csv:166,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-65B22154,Accela Tidemark Advantage,accela tidemark advantage,en,US,tool,onet,onet/skills.csv:217,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-01DE95B3,Accelerated life testing software,accelerated life testing software,en,US,tool,onet,onet/skills.csv:202,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-C2CBA25C,Accelrys Pipeline Pilot,accelrys pipeline pilot,en,US,tool,onet,onet/skills.csv:382,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-DF270841,Access management software,access management software,en,US,tool,onet,onet/skills.csv:390,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-0B41388E,AccessData FTK,accessdata ftk,en,US,tool,onet,onet/skills.csv:216,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-38F1F9C2,Accountants Templates JAZZ-It!,accountants templates jazz-it,en,US,tool,onet,onet/skills.csv:254,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-26753A9A,Accounting compliance software,accounting compliance software,en,US,tool,onet,onet/skills.csv:273,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-38F4056C,Accutech Systems Corporation AccuFarm-MGR,accutech systems corporation accufarm-mgr,en,US,tool,onet,onet/skills.csv:367,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-1048CB27,AcmeStudio,acmestudio,en,US,tool,onet,onet/skills.csv:351,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-174310DB,acoustics,acoustics,en,EU,domain_knowledge,esco,http://data.europa.eu/esco/skill/26879b10-1df9-4071-a4c5-cb8e32eddb99,ESCO occupations and skills,0.35,source_mapped,not_reviewed,,,,2026.1
CPX-SKL-AUTO-42D634FD,Acronis Recovery Expert,acronis recovery expert,en,US,tool,onet,onet/skills.csv:404,O*NET database,0.35,source_mapped,not_reviewed,,,,2026.1
