occupation_code,alias,normalised_alias,alias_type,country_code,industry_context,language_code,source_id,source_record_id,source_name,confidence,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-OCC-BOP-010,Driver,driver,source_preferred_label,GB,Delivery drivers and couriers,en,uk-soc,uk-soc:b2xv,UK Standard Occupational Classification 2020,0.0815,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-BOP-010,Driver,driver,source_preferred_label,GB,Delivery drivers and couriers,en,uk-soc,uk-soc:e9yf,UK Standard Occupational Classification 2020,0.0815,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-BOP-010,Driver,driver,source_preferred_label,GB,Delivery drivers and couriers,en,uk-soc,uk-soc:f4nc,UK Standard Occupational Classification 2020,0.0831,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-BOP-010,Driver and collector,driver and collector,source_preferred_label,GB,Delivery drivers and couriers,en,uk-soc,uk-soc:b2yg,UK Standard Occupational Classification 2020,0.0815,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-007,Drying plant operator,drying plant operator,source_preferred_label,GB,"Food, drink and tobacco process operatives",en,uk-soc,uk-soc:d3sk,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-007,Drying plant operator,drying plant operator,source_preferred_label,GB,Elementary process plant occupations n.e.c.,en,uk-soc,uk-soc:d3sl,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-CBE-009,Ehs adviser,ehs adviser,source_preferred_label,GB,Health and safety managers and officers,en,uk-soc,uk-soc:e8ix,UK Standard Occupational Classification 2020,0.075,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-012,electric power generation engineer,electric power generation engineer,source_preferred_label,EU,Energy and Utilities,en,esco,http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13,ESCO occupations and skills,0.1508,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical and mechanical engineer,electrical and mechanical engineer,source_preferred_label,GB,Electrical engineers,en,uk-soc,uk-soc:b3oz,UK Standard Occupational Classification 2020,0.1665,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical and mechanical engineer,electrical and mechanical engineer,source_preferred_label,GB,Electricians and electrical fitters,en,uk-soc,uk-soc:b3pa,UK Standard Occupational Classification 2020,0.1737,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-012,Electrical contracts manager,electrical contracts manager,source_preferred_label,GB,Construction project managers and related professionals,en,uk-soc,uk-soc:f2ft,UK Standard Occupational Classification 2020,0.2041,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical design engineer,electrical design engineer,source_preferred_label,GB,Electrical engineers,en,uk-soc,uk-soc:e7ui,UK Standard Occupational Classification 2020,0.1999,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,electrical engineer,electrical engineer,source_preferred_label,EU,,en,esco,http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,ESCO occupations and skills,0.2682,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical engineer,electrical engineer,source_preferred_label,GB,Electricians and electrical fitters,en,uk-soc,uk-soc:b3or,UK Standard Occupational Classification 2020,0.2708,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical engineer,electrical engineer,source_preferred_label,GB,Ship and hovercraft officers,en,uk-soc,uk-soc:b3os,UK Standard Occupational Classification 2020,0.2629,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical engineer,electrical engineer,source_preferred_label,GB,Ship and hovercraft officers,en,uk-soc,uk-soc:b3ot,UK Standard Occupational Classification 2020,0.2625,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical engineer,electrical engineer,source_preferred_label,GB,Electrical engineers,en,uk-soc,uk-soc:b3ox,UK Standard Occupational Classification 2020,0.2665,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical engineer,electrical engineer,source_preferred_label,GB,Electricians and electrical fitters,en,uk-soc,uk-soc:b3oy,UK Standard Occupational Classification 2020,0.275,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical engineer's fitter,electrical engineer s fitter,source_preferred_label,GB,Electricians and electrical fitters,en,uk-soc,uk-soc:b6cq,UK Standard Occupational Classification 2020,0.175,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical Engineers,electrical engineers,source_preferred_label,US,,en,onet,17-2071.00,O*NET database,0.1412,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical mains engineer,electrical mains engineer,source_preferred_label,GB,Electrical and electronic trades n.e.c.,en,uk-soc,uk-soc:b3ux,UK Standard Occupational Classification 2020,0.2098,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical maintenance engineer,electrical maintenance engineer,source_preferred_label,GB,Electrical service and maintenance mechanics and repairers,en,uk-soc,uk-soc:b3vc,UK Standard Occupational Classification 2020,0.2083,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical project engineer,electrical project engineer,source_preferred_label,GB,Project and Programme Management,en,uk-soc,uk-soc:f3jr,UK Standard Occupational Classification 2020,0.2098,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-001,Electrical project manager,electrical project manager,source_preferred_label,GB,Project and Programme Management,en,uk-soc,uk-soc:f2fw,UK Standard Occupational Classification 2020,0.2662,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical service engineer,electrical service engineer,source_preferred_label,GB,Electrical service and maintenance mechanics and repairers,en,uk-soc,uk-soc:b4cn,UK Standard Occupational Classification 2020,0.2083,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-011,Electrical test engineer,electrical test engineer,source_preferred_label,GB,Routine inspectors and testers,en,uk-soc,uk-soc:b4gn,UK Standard Occupational Classification 2020,0.199,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-013,Electro-mechanical engineer,electro-mechanical engineer,source_preferred_label,GB,Electricians and electrical fitters,en,uk-soc,uk-soc:b3pb,UK Standard Occupational Classification 2020,0.2083,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-013,Electro-mechanical engineer,electro-mechanical engineer,source_preferred_label,GB,Electrical engineers,en,uk-soc,uk-soc:f1lg,UK Standard Occupational Classification 2020,0.1883,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-014,electromagnetic engineer,electromagnetic engineer,source_preferred_label,EU,,en,esco,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,ESCO occupations and skills,0.1285,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-015,electronics engineering technician,electronics engineering technician,source_preferred_label,EU,,en,esco,http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,ESCO occupations and skills,0.0613,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-020,"Electronics Engineers, Except Computer",electronics engineers except computer,source_preferred_label,US,,en,onet,17-2072.00,O*NET database,0.0675,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-DDA-002,Embedded software engineer,embedded software engineer,source_preferred_label,GB,"Digital, Data and Artificial Intelligence",en,uk-soc,uk-soc:e9oa,UK Standard Occupational Classification 2020,0.2098,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-018,Embosser operator,embosser operator,source_preferred_label,GB,Metal working machine operatives,en,uk-soc,uk-soc:d3kc,UK Standard Occupational Classification 2020,0.07,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-PPM-003,employment programme coordinator,employment program coordinator,source_preferred_label,EU,Project and Programme Management,en,esco,http://data.europa.eu/esco/occupation/65fb0b53-b8c4-4839-b099-c80b6de5a158,ESCO occupations and skills,0.1805,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-012,Energy analyst,energy analyst,source_preferred_label,GB,Energy and Utilities,en,uk-soc,uk-soc:f2fh,UK Standard Occupational Classification 2020,0.2644,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-012,Energy Auditors,energy auditors,source_preferred_label,US,Energy and Utilities,en,onet,47-4011.01,O*NET database,0.13,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-002,Energy efficiency engineer,energy efficiency engineer,source_preferred_label,GB,Energy and Utilities,en,uk-soc,uk-soc:f1xn,UK Standard Occupational Classification 2020,0.1665,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-012,"Energy Engineers, Except Wind and Solar",energy engineers except wind and solar,source_preferred_label,US,Energy and Utilities,en,onet,17-2199.03,O*NET database,0.0911,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENE-001,Energy manager,energy manager,source_preferred_label,GB,Energy and Utilities,en,uk-soc,uk-soc:c7cq,UK Standard Occupational Classification 2020,0.2657,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-012,energy systems engineer,energy systems engineer,source_preferred_label,EU,Energy and Utilities,en,esco,http://data.europa.eu/esco/occupation/1ff61522-8947-4c95-b589-cb0e0539a62b,ESCO occupations and skills,0.1655,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,ENG,engineer,source_preferred_label,GB,Other registered nursing professionals,en,uk-soc,uk-soc:b3df,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Aircraft maintenance and related trades,en,uk-soc,uk-soc:b3xs,UK Standard Occupational Classification 2020,0.165,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Marine and waterways transport operatives,en,uk-soc,uk-soc:b3xt,UK Standard Occupational Classification 2020,0.165,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,}}}},en,uk-soc,uk-soc:b3xu,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Aircraft pilots and air traffic controllers,en,uk-soc,uk-soc:b3xv,UK Standard Occupational Classification 2020,0.1625,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Boat and ship builders and repairers,en,uk-soc,uk-soc:b3xw,UK Standard Occupational Classification 2020,0.1629,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Electrical and electronic trades n.e.c.,en,uk-soc,uk-soc:b3xx,UK Standard Occupational Classification 2020,0.1621,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Metal working production and maintenance fitters,en,uk-soc,uk-soc:b3xy,UK Standard Occupational Classification 2020,0.1615,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Marine and waterways transport operatives,en,uk-soc,uk-soc:b3xz,UK Standard Occupational Classification 2020,0.1633,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Rail and rolling stock builders and repairers,en,uk-soc,uk-soc:b3ya,UK Standard Occupational Classification 2020,0.1625,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Boat and ship builders and repairers,en,uk-soc,uk-soc:b3yb,UK Standard Occupational Classification 2020,0.1633,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Ship and hovercraft officers,en,uk-soc,uk-soc:b3yc,UK Standard Occupational Classification 2020,0.1629,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Telecoms and related network installers and repairers,en,uk-soc,uk-soc:b3yd,UK Standard Occupational Classification 2020,0.1633,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Metal working machine operatives,en,uk-soc,uk-soc:b3ye,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4jh,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Aerospace engineers,en,uk-soc,uk-soc:b4ji,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4jj,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Mechanical engineers,en,uk-soc,uk-soc:b4jk,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Aerospace engineers,en,uk-soc,uk-soc:b4jl,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Aerospace engineers,en,uk-soc,uk-soc:b4jm,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Electronics engineers,en,uk-soc,uk-soc:b4jn,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4jo,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Production and process engineers,en,uk-soc,uk-soc:b4jp,UK Standard Occupational Classification 2020,0.165,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Civil engineers,en,uk-soc,uk-soc:b4jq,UK Standard Occupational Classification 2020,0.1665,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4jr,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
