code,canonical_name,slug,description,skill_category,parent_skill_code,proficiency_framework,verification_status,review_status,reviewed_by,reviewed_at,review_notes,is_active,taxonomy_version
CPX-SKL-AUTO-067EB21B,maintain electromechanical equipment,maintain-electromechanical-equipment,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-06DC0CB9,manage product testing,manage-product-testing,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-073A34F6,prepare timelines for pipeline development projects,prepare-timelines-for-pipeline-development-projects,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-073DE116,manoeuvre heavy trucks,manoeuvre-heavy-trucks,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-077C58F7,test microelectromechanical systems,test-microelectromechanical-systems,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-07D3E689,assemble microelectromechanical systems,assemble-microelectromechanical-systems,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-07F149B8,design electromagnets,design-electromagnets,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-081400C1,electromechanics,electromechanics,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-085F11EF,geographic information systems,geographic-information-systems,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-088ADB45,guide operation of heavy construction equipment,guide-operation-of-heavy-construction-equipment,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-088F39E3,coordinate fire fighting,coordinate-fire-fighting,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-08BA3BD8,Apple AppleWorks,apple-appleworks,Spreadsheet software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-08C04917,test microelectronics,test-microelectronics,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-091726A7,components of air conditioning systems,components-of-air-conditioning-systems,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0940A444,product data management,product-data-management,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-09485647,micromechanics,micromechanics,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0969BBF7,robotics,robotics,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-09AE6D10,Ab Initio,ab-initio,Enterprise resource planning ERP software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-09B2615A,CDC Supply Chain,cdc-supply-chain,Materials requirements planning logistics and supply chain software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-09B61CE4,work in a construction team,work-in-a-construction-team,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-09D9D6C3,parking regulations,parking-regulations,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0A32DEDA,Foundational Areas,foundational-areas,Areas that support learning and applying skills across many types of work.,technical,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0A6657BC,microsystem test procedures,microsystem-test-procedures,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0A7245FE,microsensors,microsensors,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0A83E75B,document survey operations,document-survey-operations,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0A8A4D92,Chemistry,chemistry,"Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.",domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0ACD7FB4,transmission technology,transmission-technology,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0AE4E961,evaluate engine performance,evaluate-engine-performance,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0AF0AB73,3PL Central,3pl-central,Materials requirements planning logistics and supply chain software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0B37E863,energy,energy,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0B41388E,AccessData FTK,accessdata-ftk,Network monitoring software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0BB8877C,monitor mine production,monitor-mine-production,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0BBB8BC2,AEC Software FastTrack Schedule,aec-software-fasttrack-schedule,Calendar and scheduling software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0BC2C23E,Static Strength,static-strength,"The ability to exert maximum muscle force to lift, push, pull, or carry objects.",transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0BD6497B,provide technical expertise,provide-technical-expertise,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0C187978,Critical Thinking,critical-thinking,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",technical,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0C2372BD,design electronic systems,design-electronic-systems,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0C722B17,Pascal (computer programming),pascal-computer-programming,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0C99F9B8,conserve natural resources,conserve-natural-resources,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0CDA09A8,operate railway warning systems,operate-railway-warning-systems,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0CE30C7C,production processes,production-processes,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0D42E145,perform water treatment procedures,perform-water-treatment-procedures,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0E015E52,Telecommunications,telecommunications,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.",domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0E1D5981,adapt energy distribution schedules,adapt-energy-distribution-schedules,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0EC9F61C,Adaptive conjoint analysis ACA software,adaptive-conjoint-analysis-aca-software,Analytical or scientific software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0F27BB87,1003 Uniform Residential Loan Application,1003-uniform-residential-loan-application,Financial analysis software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0F3B3F9C,Near Vision,near-vision,The ability to see details at close range (within a few feet of the observer).,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0F420CA2,24SevenOffice Project,24sevenoffice-project,Project management software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0F492352,digital camera sensors,digital-camera-sensors,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0F91113D,use a computer,use-a-computer,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0FBF48C0,use technical drawing software,use-technical-drawing-software,ESCO skill linked to selected occupations.,technical,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0FE93BD2,scientific research methodology,scientific-research-methodology,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-0FF256A5,measure water quality parameters,measure-water-quality-parameters,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
